"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"7.00","car3","5.00","E0","E0_0","E0_0","","0.00","1.88","-1.00","0.00","1.30","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"7.00","car2","0.00","E0","E0_0","E0_0","","0.00","17.36","-1.00","0.00","4.39","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"7.00","car6","0.00","E12","E12_0","E12_0","","100.97","120.26","-1.00","2.89","2.90","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"7.00","car0","0.00","E12","E12_0","E12_0","","114.09","132.96","-1.00","2.78","2.59","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"7.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","97.62","300.00","13.00","12.99","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"8.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","3.06","100.00","0.00","1.69","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"8.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","23.17","100.00","0.00","5.13","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"8.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","21.06","-1.00","0.00","4.47","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"8.00","car3","5.00","E0","E0_0","E0_0","","0.00","3.85","-1.00","0.00","1.97","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"8.00","car2","0.00","E0","E0_0","E0_0","","0.00","22.29","-1.00","0.00","4.93","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"8.00","car6","0.00","E12","E12_0","E12_0","","100.97","122.97","-1.00","2.89","2.71","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"8.00","car0","0.00","E12","E12_0","E12_0","","114.09","135.72","-1.00","2.78","2.76","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"8.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","110.48","300.00","13.00","12.87","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"9.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","5.22","100.00","0.00","2.17","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"9.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","28.85","100.00","0.00","5.68","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"9.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","26.07","-1.00","0.00","5.01","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"9.00","car3","5.00","E0","E0_0","E0_0","","0.00","6.39","-1.00","0.00","2.54","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"9.00","car2","0.00","E0","E0_0","E0_0","","0.00","27.75","-1.00","0.00","5.46","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"9.00","car6","0.00","E12","E12_0","E12_0","","100.97","125.53","-1.00","2.89","2.56","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"9.00","car0","0.00","E12","E12_0","E12_0","","114.09","138.66","-1.00","2.78","2.93","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
